"Number","Title","Year","Runtime","Genre","Ratings","Director","Total.Vote","Rated","Stars.1","Stars.2","Stars.3"
"1","Penyalin Cahaya",2021,130,"Crime",7.1,"Wregas Bhanuteja",1383,"D17+","Shenina Cinnamon","Dea Panendra","Giulio Parengkuan"
"2","Serbuan maut",2011,101,"Action",7.6,"Gareth Evans",199310,"D","Iko Uwais","Ananda George","Ray Sahetapy"
"3","Serbuan maut 2: Berandal",2014,150,"Action",8,"Gareth Evans",120134,"R","Iko Uwais","Yayan Ruhian","Arifin Putra"
"4","The Night Comes for Us",2018,121,"Action",7,"Timo Tjahjanto",24751,"17+","Iko Uwais","Joe Taslim","Julie Estelle"
"5","Yuni",2021,95,"Drama",7.9,"Kamila Andini",402,"D17+","Arawinda Kirana","Asmara Abigail","Sekar Sari"
"6","Layangan Putus",2021,106,"Drama",8.2,"Reza Rahadian",135,"Not Rated","Frederika Cull","Putri Marino","Anya Geraldine"
"7","Perempuan Tanah Jahanam",2019,106,"Horror",6.7,"Joko Anwar",4751,"17+","Tara Basro","Ario Bayu","Marissa Anita"
"8","Ratu Ilmu Hitam",2019,99,"Horror",6.5,"Kimo Stamboel",1971,"17+","Ario Bayu","Hannah Al Rashid","Adhisty Zara"
"9","Satan's Slaves",2017,107,"Drama",6.6,"Joko Anwar",8361,"17+","Tara Basro","Bront Palarae","Dimas Aditya"
"10","Headshot",2016,118,"Action",6.4,"Kimo Stamboel",14435,"21+","Timo Tjahjanto","Iko Uwais","Chelsea Islan"
"12","Makmum 2",2021,92,"Horror",6.5,"Guntur Soeharjanto",65,"17+","Titi Kamal","Samuel Rizal","Pritt Timothy"
"13","Merantau",2009,134,"Action",6.7,"Gareth Evans",10710,"R","Iko Uwais","Sisca Jessica","Christine Hakim"
"14","Sebelum Iblis Menjemput",2018,110,"Horror",6,"Timo Tjahjanto",4076,"17+","Chelsea Islan","Pevita Pearce","Ray Sahetapy"
"15","Sabrina",2018,113,"Horror",4.2,"Rocky Soraya",1684,"17+","Luna Maya","Christian Sugiono","Sara Wijayanto"
"16","Cinta Pertama, Kedua, & Ketiga",2021,105,"Drama",7.4,"Ginatri S. Noer",38,"R13+","Angga Yunanda","Putri Marino","Slamet Rahardjo"
"17","18+",2010,90,"Drama",5.1,"Nayato Fio Nuala",149,"21+","Arumy Bachsin","Rangga Djoned","Adipati Dolken"
"19","Message Man",2018,91,"Action",6,"Corey Pearson",5537,"21+","Paul O'Brien","Aji Santosa","Verdi Solaiman"
"20","Pembalasan Ratu Pantai Selatan",1989,82,"Action",5.6,"H. Tjut Djalil",1703,"13+","Barbara Anne Constable","Christopher J. Hart","Claudia Angelique Rademaker"
